Sensitivity block,Draws,Solver convergence (%),"Affordability-oriented effort share, median","Affordability-oriented effort share, 5th percentile","Affordability-oriented effort share, 95th percentile",Social protection or infrastructure ranks first (%),All seven shortfalls improve (%),Median final mean shortfall
Initial conditions,100,100.0,0.8234975854096849,0.7642861753659359,0.8548290650425922,100.0,100.0,0.046203953410417345
Interaction matrix,100,100.0,0.816901332493811,0.8098504632272219,0.8238275133364384,100.0,100.0,0.04666761289944258
Persistence parameters,100,100.0,0.8165535836230928,0.7789939103383146,0.8458748432866482,100.0,100.0,0.047520132216653875
Planner weights,100,100.0,0.8277034840126525,0.7897029102325389,0.8663603458197732,100.0,100.0,0.05761236271345755
Policy costs,100,100.0,0.8134343678205642,0.7748965919424022,0.8478556239530237,100.0,100.0,0.039776595206991755
Policy-impact matrix,100,100.0,0.8171496415228667,0.8060529281665095,0.8266192077643909,100.0,100.0,0.046407157050395234
All parameter groups jointly,1000,100.0,0.8174270473440457,0.7293309417243863,0.8925776552594015,99.7,100.0,0.047222319825131476
