Sensitivity block,Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
Policy-impact matrix,35,98.83808929847636,True,Social protection policy,Infrastructure investment,0.8231105274863302,True,0.056105963766939285,0.12214913657392479,0.06305469764495952,0.011167038965403192,3.7706656264652367
Policy-impact matrix,36,99.72023208861687,True,Social protection policy,Infrastructure investment,0.8237977704500732,True,0.06544032530872679,0.14934527393697805,0.06669701761245206,0.012998847031113654,3.6375983899162128
Policy-impact matrix,37,95.28242204753198,True,Social protection policy,Infrastructure investment,0.814108677552351,True,0.04408237566421431,0.08679358837816264,0.05406122909569222,0.013433497350895204,3.739671675394727
Policy-impact matrix,38,98.11119934944895,True,Social protection policy,Infrastructure investment,0.8194878572483844,True,0.058303124997694404,0.1270472554827773,0.06708023353134773,0.00993344847780539,3.7467278350185556
Policy-impact matrix,39,94.60734067731951,True,Social protection policy,Infrastructure investment,0.8082499713866924,True,0.04661228787075023,0.09793915963526434,0.05255496265883097,0.0126488852535305,3.747411711376317
Policy-impact matrix,40,94.93329854919656,True,Social protection policy,Infrastructure investment,0.8144096988718994,True,0.04549540930523342,0.09649582430674486,0.053704327166571364,0.009033781095000748,3.666571425581479
Policy-impact matrix,41,96.76965404189862,True,Social protection policy,Infrastructure investment,0.8192908491096059,True,0.04810268157174591,0.10379860662286755,0.054020102463079755,0.010540676415163375,3.7516631156243956
Policy-impact matrix,42,96.72871208455523,True,Social protection policy,Infrastructure investment,0.8206880678542693,True,0.049492426833035064,0.10467808838036685,0.054724657790114706,0.013820747745141165,3.618853180999488
Policy-impact matrix,43,93.53240370939821,True,Social protection policy,Infrastructure investment,0.806148358742941,True,0.0410340520966905,0.08955876161773724,0.039631204213572135,0.014429216507107379,3.760894546164188
Policy-impact matrix,44,93.31204847274192,True,Social protection policy,Infrastructure investment,0.8102725953660372,True,0.03610061152225359,0.07023599550100856,0.04564054607409518,0.010475598752783838,3.7531822324300883
Policy-impact matrix,45,97.38245502609907,True,Social protection policy,Infrastructure investment,0.8184971367150266,True,0.05788297624196122,0.13934101576263835,0.05321228355713714,0.010037117527088774,3.6537878558957986
Policy-impact matrix,46,98.98042656985538,True,Social protection policy,Infrastructure investment,0.826611199856983,True,0.05473072830983886,0.10741785302241791,0.0709495610735712,0.013190134988446914,3.6607165881181536
