Country,ISO3,Region,First year,Last year,Distinct years observed,Outcomes represented (of 7),Total outcome-year observations,Coverage rate across country-year-outcome cells (%),Cost of healthy diet observations,Cannot afford healthy diet observations,Prevalence of undernourishment observations,"Minimum dietary diversity, women observations",Food system emissions observations,Emissions intensity observations,Social protection coverage observations
Qatar,QAT,Northern Africa & Western Asia,2000,2024,25,4,62,35.4,8,8,0,0,23,23,0
Republic of Korea,KOR,Eastern Asia,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Republic of Moldova,MDA,Northern America & Europe,2000,2024,25,7,90,51.4,8,8,23,1,23,23,4
Romania,ROU,Northern America & Europe,2000,2024,25,6,89,50.9,8,8,23,0,23,23,4
Russian Federation,RUS,Northern America & Europe,2000,2024,25,7,91,52.0,8,8,23,1,23,23,5
Rwanda,RWA,Sub-Saharan Africa,2000,2024,25,6,88,50.3,8,8,23,0,23,23,3
Saint Kitts and Nevis,KNA,Latin America & Caribbean,2000,2024,25,3,54,30.9,8,0,0,0,23,23,0
Saint Lucia,LCA,Latin America & Caribbean,2000,2024,25,4,62,35.4,8,8,0,0,23,23,0
Saint Vincent and the Grenadines,VCT,Latin America & Caribbean,2000,2024,25,4,77,44.0,8,0,23,0,23,23,0
Samoa,WSM,Oceania,2000,2024,25,4,70,40.0,0,0,23,0,23,23,1
San Marino,SMR,Northern America & Europe,2000,2022,23,1,23,14.3,0,0,0,0,23,0,0
Sao Tome and Principe,STP,Sub-Saharan Africa,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
Saudi Arabia,SAU,Northern Africa & Western Asia,2000,2024,25,4,77,44.0,8,0,23,0,23,23,0
Senegal,SEN,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Serbia,SRB,Northern America & Europe,2002,2024,23,6,78,48.4,8,8,23,0,17,17,5
Seychelles,SYC,Sub-Saharan Africa,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Sierra Leone,SLE,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Singapore,SGP,South-eastern Asia,2000,2024,25,3,54,30.9,8,0,0,0,23,23,0
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,2017,2024,8,1,8,14.3,8,0,0,0,0,0,0
Slovakia,SVK,Northern America & Europe,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
Slovenia,SVN,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Solomon Islands,SLB,Oceania,2000,2024,25,4,70,40.0,0,0,23,0,23,23,1
Somalia,SOM,Sub-Saharan Africa,2000,2024,25,5,78,44.6,8,0,23,1,23,23,0
South Africa,ZAF,Sub-Saharan Africa,2000,2024,25,7,93,53.1,8,8,23,1,23,23,7
South Sudan,SSD,Sub-Saharan Africa,2009,2024,14,6,43,38.4,8,8,4,0,11,11,1
Spain,ESP,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Sri Lanka,LKA,Southern Asia,2000,2024,25,7,91,52.0,8,8,23,1,23,23,5
Sudan,SDN,Northern Africa & Western Asia,2009,2024,14,6,48,42.9,8,8,9,0,11,11,1
Suriname,SUR,Latin America & Caribbean,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Sweden,SWE,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Switzerland,CHE,Northern America & Europe,2000,2024,25,6,86,49.1,8,8,23,1,23,23,0
Syrian Arab Republic,SYR,Northern Africa & Western Asia,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
"Taiwan, Province of China",TWN,Eastern Asia,2002,2024,23,3,33,20.5,2,8,23,0,0,0,0
Tajikistan,TJK,Central Asia,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
Thailand,THA,South-eastern Asia,2000,2024,25,7,93,53.1,8,8,23,1,23,23,7
Timor-Leste,TLS,South-eastern Asia,2000,2024,25,4,71,40.6,0,0,23,0,23,23,2
Togo,TGO,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Tonga,TON,Oceania,2000,2022,23,2,46,28.6,0,0,0,0,23,23,0
Trinidad and Tobago,TTO,Latin America & Caribbean,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Tunisia,TUN,Northern Africa & Western Asia,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
Turkmenistan,TKM,Central Asia,2000,2024,25,3,69,39.4,0,0,23,0,23,23,0
Turks and Caicos Islands,TCA,Latin America & Caribbean,2017,2024,8,1,8,14.3,8,0,0,0,0,0,0
Tuvalu,TUV,Oceania,2000,2022,23,1,23,14.3,0,0,0,0,23,0,0
Türkiye,TUR,Northern Africa & Western Asia,2000,2024,25,7,102,58.3,8,8,23,1,23,23,16
Uganda,UGA,Sub-Saharan Africa,2000,2024,25,7,90,51.4,8,8,23,1,23,23,4
Ukraine,UKR,Northern America & Europe,2000,2024,25,5,78,44.6,0,0,23,1,23,23,8
United Arab Emirates,ARE,Northern Africa & Western Asia,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
United Kingdom of Great Britain and Northern Ireland,GBR,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
United Republic of Tanzania,TZA,Sub-Saharan Africa,2000,2024,25,7,90,51.4,8,8,23,1,23,23,4
United States of America,USA,Northern America & Europe,2000,2024,25,6,86,49.1,8,8,23,1,23,23,0
Uruguay,URY,Latin America & Caribbean,2000,2024,25,6,96,54.9,8,8,23,0,23,23,11
Uzbekistan,UZB,Central Asia,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
Vanuatu,VUT,Oceania,2000,2024,25,4,70,40.0,0,0,23,0,23,23,1
Venezuela (Bolivarian Republic of),VEN,Latin America & Caribbean,2000,2024,25,5,71,40.6,0,0,23,1,23,23,1
Viet Nam,VNM,South-eastern Asia,2000,2024,25,7,90,51.4,8,8,23,1,23,23,4
Yemen,YEM,Northern Africa & Western Asia,2000,2022,23,4,49,30.4,0,0,0,1,23,23,2
Zambia,ZMB,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Zimbabwe,ZWE,Sub-Saharan Africa,2000,2024,25,7,76,43.4,1,1,23,1,23,23,4
